instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
27621560;Option;BRC;3;17.10.2024 17:30;0.380821918;15000;1;0;31.05.2024;19.96875
27599096;Option;BRC;1;04.09.2024 17:30;0.263013699;15000;1;0;31.05.2024;1.671875
27176275;Option;BRC;1;25.11.2024 17:30;0.487671233;15000;1;0;31.05.2024;1.734375
27199395;Option;BRC;3;04.06.2024 17:30;0.010958904;15000;1;0;31.05.2024;18.796875
27573565;Option;BRC;5;27.03.2025 17:30;0.821917808;15000;1;0;31.05.2024;104.46875
26979025;Option;BRC;3;23.09.2024 17:30;0.315068493;15000;1;0;31.05.2024;19.4375
27392614;TotalReturnSwap;AC;3;16.02.2026 00:00;1.715068493;15000;1;7;31.05.2024;60.78125
27128103;Option;BRC;2;13.08.2024 17:30;0.202739726;15000;1;0;31.05.2024;6.34375
26259465;Option;BRC;3;20.06.2024 17:30;0.054794521;15000;1;0;31.05.2024;16.8125
27717534;Option;BRC;4;14.05.2025 17:30;0.953424658;15000;1;0;31.05.2024;51.234375
27591275;TotalReturnSwap;CBRC;3;11.04.2025 00:00;0.863013699;15000;1;4;31.05.2024;46.5625
27469518;TotalReturnSwap;AC;3;09.09.2025 00:00;1.276712329;15000;1;6;31.05.2024;56.609375
27488826;Option;BRC;2;08.08.2024 17:30;0.189041096;15000;1;0;31.05.2024;6.296875
26219439;Option;BRC;4;10.06.2024 17:30;0.02739726;15000;1;0;31.05.2024;40.203125
26890180;TotalReturnSwap;CBRC;3;28.02.2025 00:00;0.747945205;15000;1;3;31.05.2024;37.703125
27390487;Option;BRC;4;06.02.2025 22:00;0.687671233;15000;1;0;31.05.2024;47.625
27445317;Option;BRC;3;21.02.2025 22:00;0.728767123;15000;1;0;31.05.2024;19.96875
27476869;Option;BRC;4;04.03.2025 17:35;0.75890411;15000;1;0;31.05.2024;43.59375
27714115;TotalReturnSwap;AC;2;19.05.2025 00:00;0.967123288;15000;1;4;31.05.2024;16.59375
27304360;Option;BRC;3;10.12.2024 22:00;0.528767123;15000;1;0;31.05.2024;19.265625
27599183;Option;BRC;3;09.04.2025 17:30;0.857534247;15000;1;0;31.05.2024;20.265625
27411940;Option;BRC;2;22.08.2024 17:30;0.22739726;15000;1;0;31.05.2024;6.9375
27570874;Option;BRC;3;28.03.2025 17:30;0.824657534;15000;1;0;31.05.2024;19.984375
27328821;Option;BRC;1;19.08.2024 17:30;0.219178082;15000;1;0;31.05.2024;1.765625
27445617;TotalReturnSwap;CBRC;3;28.08.2025 00:00;1.243835616;15000;1;15;31.05.2024;125.796875
27390242;Option;BRC;2;06.06.2024 17:35;0.016438356;15000;1;0;31.05.2024;6.5
26778136;Option;BRC;3;19.07.2024 22:00;0.134246575;15000;1;0;31.05.2024;19.671875
